address,city,state,zip,price,beds,baths,sqft,lat,lon,url,flags,district,district_grades,elem,mid,high,top_school,top_rating,school_count
51 Oriol Dr,Worcester,MA,01605,,,,,42.295235003493,-71.766465307566,https://www.realtor.com/rentals/details/51-Oriol-Dr_Worcester_MA_01605_M92953-03603,,Worcester School District,PK-12,5.3,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,20
9 Elmwood St,Worcester,MA,01602,1500.0,1.0,1.0,650.0,42.271828,-71.82888,https://www.realtor.com/rentals/details/9-Elmwood-St_Worcester_MA_01602_M93584-21447,ROOM,Worcester School District,PK-12,5.3,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,22
15 Hawley St Unit 1,Worcester,MA,01609,1075.0,3.0,2.0,1948.0,42.26284,-71.81179,https://www.realtor.com/rentals/details/15-Hawley-St-1_Worcester_MA_01609_M90215-44402,UNIT|ROOM|MULTI,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
10 Stevens Rd Apt 3,Worcester,MA,01603,2000.0,3.0,1.0,1954.0,42.253967,-71.829239,https://www.realtor.com/rentals/details/10-Stevens-Rd-Apt-3_Worcester_MA_01603_M93812-58386,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
50 Maywood St Apt 2,Worcester,MA,01603,2500.0,4.0,2.0,1600.0,42.251841,-71.826137,https://www.realtor.com/rentals/details/50-Maywood-St-Apt-2_Worcester_MA_01603_M31207-19890,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
75 Chatham St Apt 5,Worcester,MA,01609,1850.0,2.0,1.0,900.0,42.262325,-71.808899,https://www.realtor.com/rentals/details/75-Chatham-St-Apt-5_Worcester_MA_01609_M99495-36635,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
5-7 Pleasant St Unit 401,Worcester,MA,01609,1550.0,1.0,1.0,464.0,42.284901,-71.88517,https://www.realtor.com/rentals/details/57-Pleasant-St-401_Worcester_MA_01609_M97851-71971,UNIT,Wachusett School District,PK-12,5.2,5.0,4.0,Flagg Street School,7,8
33 Fairmont Ave Unit 2,Worcester,MA,01604,2500.0,3.0,1.0,1300.0,42.259838,-71.77964,https://www.realtor.com/rentals/details/33-Fairmont-Ave-2_Worcester_MA_01604_M91756-76318,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
7 Cottage St Apt 2,Worcester,MA,01609,2500.0,4.0,1.0,1000.0,42.264591,-71.809837,https://www.realtor.com/rentals/details/7-Cottage-St-Apt-2_Worcester_MA_01609_M95646-64539,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
23 Stoneland Rd Apt 2,Worcester,MA,01603,1800.0,2.0,1.0,1600.0,42.245743,-71.826508,https://www.realtor.com/rentals/details/23-Stoneland-Rd-Apt-2_Worcester_MA_01603_M91556-68393,UNIT|MULTI,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
45 Pilgrim Ave,Worcester,MA,01604,3200.0,3.0,2.0,936.0,42.258788,-71.778639,https://www.realtor.com/rentals/details/45-Pilgrim-Ave_Worcester_MA_01604_M37396-75679,,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
11 Dupont St Apt 2,Worcester,MA,01604,1950.0,2.0,1.0,1000.0,42.25634,-71.78418,https://www.realtor.com/rentals/details/11-Dupont-St-Apt-2_Worcester_MA_01604_M93301-24759,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
778 Main St Unit 12,Leicester,MA,01524,2800.0,2.0,1.0,1353.0,42.245613,-71.894867,https://www.realtor.com/rentals/details/778-Main-St-12_Leicester_MA_01524_M95912-18544,UNIT|MULTI,Leicester School District,PK-12,5.2,5.0,4.0,West Tatnuck School,7,7
10 Cottage St Unit 1,Worcester,MA,01609,2500.0,3.0,1.0,1250.0,42.264942,-71.810188,https://www.realtor.com/rentals/details/10-Cottage-St-1_Worcester_MA_01609_M96792-94492,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
84 Lovell St Apt 1,Worcester,MA,01603,2200.0,3.0,1.0,1300.0,42.252438,-71.832237,https://www.realtor.com/rentals/details/84-Lovell-St-Apt-1_Worcester_MA_01603_M97336-31799,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
78 Birch St Unit 2,Worcester,MA,01603,2200.0,2.0,1.0,800.0,42.250626,-71.829391,https://www.realtor.com/rentals/details/78-Birch-St-2_Worcester_MA_01603_M92866-91039,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
92 Hamilton St Apt 1,Worcester,MA,01604,2100.0,2.0,1.0,,42.255787,-71.780045,https://www.realtor.com/rentals/details/92-Hamilton-St-Apt-1_Worcester_MA_01604_M49047-22091,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
414 Lovell St Unit 2,Worcester,MA,01602,2300.0,2.0,1.0,1314.0,42.264965,-71.828873,https://www.realtor.com/rentals/details/414-Lovell-St-2_Worcester_MA_01602_M99647-77650,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
75 Chatham St,Worcester,MA,01609,,,,,42.262325,-71.808899,https://www.realtor.com/rentals/details/75-Chatham-St_Worcester_MA_01609_M90678-86647,,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
