lat,lon,city,state,address,elementary,middle,high,property_url
42.516938,-71.42929,Acton,MA,11 Beth Cir Unit 11,Ab Regional,R.J. Grey Jhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/11-Beth-Cir_Acton_MA_01720_M45187-92813
42.489095,-71.468583,Acton,MA,67 Seminole Rd,Boardwalk,Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/67-Seminole-Rd_Acton_MA_01720_M35563-35282
42.464382,-71.48246,Acton,MA,139 Willow St,,,Abrhs,https://www.realtor.com/realestateandhomes-detail/139-Willow-St_Acton_MA_01720_M31101-24962
42.514118,-71.428436,Acton,MA,484 Great Rd # 3,Acton,Acton/Box,Acton/Box,https://www.realtor.com/realestateandhomes-detail/484-Great-Rd-3_Acton_MA_01720_M91049-37072
42.512683,-71.412898,Acton,MA,5 Mirasol Cir Unit 5,Choice Of 5,Rj Grey,Acton/Boxborough,https://www.realtor.com/realestateandhomes-detail/5-Mirasol-Cir_Acton_MA_01720_M99650-67223
42.480528,-71.408222,Acton,MA,54 Pope Rd,,R J Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/54-Pope-Rd_Acton_MA_01720_M30827-75612
42.504668,-71.418272,Acton,MA,10 Wampus Ave Apt 34,,,Abrhs,https://www.realtor.com/realestateandhomes-detail/10-Wampus-Ave-Apt-34_Acton_MA_01720_M45280-28805
42.45465,-71.434736,Acton,MA,120 Parker St Apt 15,Choice Of 6,Rj Grey,Acton Boxborough Regional Hs,https://www.realtor.com/realestateandhomes-detail/120-Parker-St-Apt-15_Acton_MA_01720_M37800-99077
42.457786,-71.449755,Acton,MA,40 High St,Choice Of Five,Rj Grey Jr High,Ab Regional Hs,https://www.realtor.com/realestateandhomes-detail/40-High-St_Acton_MA_01720_M37308-26501
42.512683,-71.412898,Acton,MA,5 Mirasol Cir Unit 5,Choice Of 5,Rj Grey,Acton/Boxborough,https://www.realtor.com/realestateandhomes-detail/5-Mirasol-Cir_Acton_MA_01720_M99650-67223
42.507483,-71.421738,Acton,MA,380 Great Rd Apt A204,Paul P. Gates Elementary,Rj Grey,Acton-Boxborough Hs,https://www.realtor.com/realestateandhomes-detail/380-Great-Rd-Apt-A204_Acton_MA_01720_M39406-37609
42.515375,-71.433473,Acton,MA,9 Breezy Point Rd,,R J Grey,,https://www.realtor.com/realestateandhomes-detail/9-Breezy-Point-Rd_Acton_MA_01720_M45237-15066
42.484014,-71.443606,Acton,MA,25 Revolutionary Rd,Boardwalk,Rj Grey Jr Hs (7-8),Abrhs,https://www.realtor.com/realestateandhomes-detail/25-Revolutionary-Rd_Acton_MA_01720_M32029-61426
42.494305,-71.413842,Acton,MA,12 Gabriel Ln Unit 12,New Vote In Town,,Abrhs,https://www.realtor.com/realestateandhomes-detail/12-Gabriel-Ln_Acton_MA_01720_M40961-47499
42.514771,-71.41304,Acton,MA,43 Quarry Rd Unit 43,Gates And Douglas Elementary,Raymond J. Grey Junior,Acton-Boxborough Regional High,https://www.realtor.com/realestateandhomes-detail/43-Quarry-Rd_Acton_MA_01720_M38705-67424
42.457786,-71.449755,Acton,MA,40 High St,Choice Of Five,Rj Grey Jr High,Ab Regional Hs,https://www.realtor.com/realestateandhomes-detail/40-High-St_Acton_MA_01720_M37308-26501
42.468487,-71.47847,Acton,MA,92A Willow St Unit 2,Acton,Abrjhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/92A-Willow-St-2_Acton_MA_01720_M98368-22148
42.487535,-71.437402,Acton,MA,37 Newtown Rd,Boardwalk Campus,Rj Grey Junior High,Acton Boxborough High School,https://www.realtor.com/realestateandhomes-detail/37-Newtown-Rd_Acton_MA_01720_M47715-67701
41.746258,-70.89925,Acushnet,MA,1324 Main St,Acushnet Elementary,Ford Middle School,"Fair, Nbhs,Old Col Bristol Ag",https://www.realtor.com/realestateandhomes-detail/1324-Main-St_Acushnet_MA_02743_M32793-57311
41.708056,-70.890131,Acushnet,MA,6 Evergreen Dr,Acushnet Elementary,Ford Middle,,https://www.realtor.com/realestateandhomes-detail/6-Evergreen-Dr_Acushnet_MA_02743_M35397-24638
41.754608,-70.905563,Acushnet,MA,1479 Main St,Acushnet Elm,Ford,Fairhaven/Newbed/Voc,https://www.realtor.com/realestateandhomes-detail/1479-Main-St_Acushnet_MA_02743_M91604-10055
41.685527,-70.911339,Acushnet,MA,15 Hiram St,Acushnet Elementary,Ford Middle,"Nbhs, Fhs, Oc",https://www.realtor.com/realestateandhomes-detail/15-Hiram-St_Acushnet_MA_02743_M33795-47057
41.717465,-70.919718,Acushnet,MA,79 Park Dr,Acushnet Elementary,Ford Middle School,,https://www.realtor.com/realestateandhomes-detail/79-Park-Dr_Acushnet_MA_02743_M92112-72297
