lat,lon,city,state,address,level,mls_name,ncessch,nces_name,leaid,match_method
42.40372,-72.514655,Amherst Town,MA,691 E Pleasant St,elementary,Amherst,,,,
42.349956,-72.524223,Amherst Town,MA,170 E Hadley Rd Apt 65,elementary,District,,,,
42.361665,-72.534764,Amherst Town,MA,23 Green Leaves Dr Unit 107,elementary,Amherst,,,,
42.327551,-72.498617,Amherst Town,MA,1450 S East St,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.419798,-72.495731,Amherst Town,MA,471 Flat Hills Rd,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.346481,-72.505443,Amherst Town,MA,6 Evening Star Dr,elementary,Amethyst Brook Elem.,,,,
42.342642,-72.503488,Amherst Town,MA,20 Station Rd,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.325605,-72.505139,Amherst Town,MA,400 Middle St,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.361665,-72.534764,Amherst Town,MA,23 Green Leaves Dr Unit 105,elementary,Amherst,,,,
42.411888,-72.519123,Amherst Town,MA,208 Pine St Unit 53,elementary,Amethyst Brook,,,,
42.385229,-72.519471,Amherst Town,MA,50 Mount Pleasant,elementary,Amherst,,,,
42.365505,-72.483896,Amherst Town,MA,8 Emerson Ct Unit 8,elementary,Amethyst Brook Elem,,,,
42.314739,-72.530262,Amherst Town,MA,1270 West St,elementary,Amherst,,,,
42.319994,-72.492978,Amherst Town,MA,1731 S East St,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.41022,-72.509568,Amherst Town,MA,71 Morgan Cir,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.361665,-72.534764,Amherst Town,MA,23 Green Leaves Dr Unit 123,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.376839,-72.522362,Amherst Town,MA,32 N Prospect St Apt 4,elementary,Wildwood,250189000041,Wildwood Elementary,2501890,best_match
42.349956,-72.524223,Amherst Town,MA,170 E Hadley Rd Apt 27,elementary,Amherst,,,,
42.383542,-72.519897,Amherst Town,MA,12 Pleasant Ct,elementary,Wildwood,250189000041,Wildwood Elementary,2501890,best_match
42.377911,-72.511806,Amherst Town,MA,35 Taylor St,elementary,Amethyst Brook,,,,
42.650422,-71.173878,Andover,MA,9 Wild Rose Dr,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.640599,-71.22109,Andover,MA,7 Jordyn Ln,elementary,High Plain Elem,250195001676,High Plain Elementary,2501950,best_match
42.675042,-71.186917,Andover,MA,216 Greenwood Rd,elementary,High Plain Elementary School,250195001676,High Plain Elementary,2501950,best_match
42.679752,-71.194954,Andover,MA,3 Suffolk Cir,elementary,High Plain Elementary School,250195001676,High Plain Elementary,2501950,best_match
42.661284,-71.139419,Andover,MA,55 Maple Ave,elementary,Bancroft,250195000047,Bancroft Elementary,2501950,best_match
42.621804,-71.150373,Andover,MA,8 Charlotte Dr,elementary,South,250195000050,South Elementary,2501950,best_match
42.639428,-71.133421,Andover,MA,6 Porter Rd,elementary,South Elementary School,250195000050,South Elementary,2501950,best_match
42.661351,-71.18839,Andover,MA,108 Greenwood Rd,elementary,High Plain,250195001676,High Plain Elementary,2501950,best_match
42.652812,-71.117213,Andover,MA,37 Kathleen Dr,elementary,Bancroft,250195000047,Bancroft Elementary,2501950,best_match
42.613394,-71.148277,Andover,MA,4 Nicoll Dr,elementary,South Elementary School,250195000050,South Elementary,2501950,best_match
42.613543,-71.143659,Andover,MA,4 Dundas Ave,elementary,South,250195000050,South Elementary,2501950,best_match
42.681746,-71.195564,Andover,MA,15 Somerset Dr,elementary,High Plain Elementary School,250195001676,High Plain Elementary,2501950,best_match
42.648593,-71.147776,Andover,MA,8 Marion Ave,elementary,South,,,,
42.622662,-71.128941,Andover,MA,15 Alderbrook Rd,elementary,South,250195000050,South Elementary,2501950,best_match
42.632317,-71.187697,Andover,MA,70 Osgood St,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.654914,-71.169985,Andover,MA,42 Cutler Rd,elementary,West Elementary School,250195000051,West Elementary,2501950,best_match
42.683959,-71.217494,Andover,MA,197 River Rd,elementary,High Plain,250195001676,High Plain Elementary,2501950,best_match
42.663164,-71.157873,Andover,MA,27 Lincoln St,elementary,Check W/ Supt.,,,,
42.673134,-71.134841,Andover,MA,7 Longwood Dr Unit 207,elementary,West Elementary School,250195000051,West Elementary,2501950,best_match
