lat,lon,city,state,address,elementary,middle,high,property_url
42.009437,-70.723081,Duxbury,MA,77 Tussock Brook Rd Unit 77,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/77-Tussock-Brook-Rd_Duxbury_MA_02332_M32508-79650
42.018754,-70.71956,Duxbury,MA,22 Tinkertown Ln,Chandler,,,https://www.realtor.com/realestateandhomes-detail/22-Tinkertown-Ln_Duxbury_MA_02332_M44312-36741
42.053616,-70.673997,Duxbury,MA,74 Abrams Hill Rd,Chandler School,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/74-Abrams-Hill-Rd_Duxbury_MA_02332_M33433-73719
42.015827,-70.704639,Duxbury,MA,59 Priscilla Ave,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/59-Priscilla-Ave_Duxbury_MA_02332_M38876-71149
42.020398,-70.731861,Duxbury,MA,94 Buckboard Rd,Chandler & Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/94-Buckboard-Rd_Duxbury_MA_02332_M47162-80786
42.03427,-70.730485,Duxbury,MA,131 East St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/131-East-St_Duxbury_MA_02332_M46139-93294
42.056225,-70.700048,Duxbury,MA,6 Rachael Ln,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/6-Rachael-Ln_Duxbury_MA_02332_M46734-13364
42.032413,-70.74822,Duxbury,MA,298 Autumn Ave,Chandler,,,https://www.realtor.com/realestateandhomes-detail/298-Autumn-Ave_Duxbury_MA_02332_M36829-40987
42.024803,-70.71113,Duxbury,MA,20 Island Creek Rd,Chandler,,,https://www.realtor.com/realestateandhomes-detail/20-Island-Creek-Rd_Duxbury_MA_02332_M41257-34916
42.017485,-70.677228,Duxbury,MA,54 Marshall St,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/54-Marshall-St_Duxbury_MA_02332_M43468-63499
42.042302,-70.747218,Duxbury,MA,6 Carriage Ln Unit 6,Chandler / Alden,,,https://www.realtor.com/realestateandhomes-detail/6-Carriage-Ln_Duxbury_MA_02332_M36132-98215
